SUPER GUTIERREZ SUCURSAL PLAZA PIEDRAS NEGRAS,TORTILLA DE MAIZ,9.90,28.697279,-100.517415
SORIANA HIPER SUCURSAL LAS ROSAS,TORTILLA DE MAIZ,10.00,25.555028,-103.505483
WAL MART,HARINA DE MAIZ,13.00,20.986878,-89.617292
SORIANA SUPER SUCURSAL 309,HARINA DE MAIZ,13.40,22.758666,-102.538029
BODEGA AURRERA SUCURSAL SANTA ANITA,HARINA DE MAIZ,12.00,17.045399,-96.730589
EL FLORIDO SUCURSAL REFORMA,TORTILLA DE MAIZ,8.90,31.840050,-116.603533
SORIANA SUCURSAL EX-BASE AEREA,TORTILLA DE MAIZ,9.50,24.125121,-110.311812
WALMART SUCURSAL LOS CABOS,TORTILLA DE MAIZ,10.00,22.890285,-109.916942
LOS ARCOS,TORTILLA DE MAIZ,11.00,22.755001,-102.498847
WAL MART,TORTILLA DE MAIZ,9.50,20.986878,-89.617292
SORIANA SUPER SUCURSAL 309,TORTILLA DE MAIZ,10.00,22.758666,-102.538029
CHEDRAUI SUCURSAL CENTRO,TORTILLA DE MAIZ,8.90,19.190629,-96.134770
TORTILLERIA LA GOTERA,TORTILLA DE MAIZ,14.00,20.977604,-89.628847
BODEGA AURRERA SUCURSAL 4199,TORTILLA DE MAIZ,9.50,32.478084,-114.763224
CALIMAX SUCURSAL PLAZA FIESTA,TORTILLA DE MAIZ,10.50,32.476434,-114.779069
WAL MART SUCURSAL UNIVERSIDAD,TORTILLA DE MAIZ,10.00,18.000933,-92.925282
TORTILLERIA TERESITA SUCURSAL PARQUE,TORTILLA DE MAIZ,15.00,18.026210,-92.926060
TORTILLERIA SAN ANTONIO SUCURSAL CENTRO,TORTILLA DE MAIZ,12.00,25.561817,-108.462919
SORIANA,TORTILLA DE MAIZ,8.90,29.069109,-110.968837
TORTILLERIA LAS MARAVILLAS,TORTILLA DE MAIZ,18.00,29.111605,-110.974429
WALMART SUSURSAL 1054 COLIMA NORTE,TORTILLA DE MAIZ,10.00,19.257428,-103.720523
